"id","company","repository","stage","round_size","year","month","lead_investor","has_repo","has_github","github_name","date","link"
"1","Acryl Data","https://github.com/datahub-project/datahub","Seed","9.00","2021","6","8VC","1","1","datahub-project/datahub","2021-06-01 00:00:00","https://techcrunch.com/2021/06/23/acryl-data-commercializing-linkedins-metadata-tool-datahub-emerges-from-stealth-with-9m-from-8vc-linkedin-and-insight/"
"2","Activeloop","https://github.com/activeloopai/Hub","Seed","5.00","2021","11","468 Capital","1","1","activeloopai/Hub","2021-11-01 00:00:00","https://techcrunch.com/2021/11/02/activeloop-snags-5m-seed-to-build-database-for-ai-applications/"
"3","ActiveState","Python/Perl/Tcl","B","1.00","2021","1","Turn/River","0","0","","2021-01-01 00:00:00","https://www.activestate.com/company/press/press-releases/activestate-raises-strategic-investment-from-turn-river/"
"4","Ahana","https://github.com/prestodb/presto","A","20.00","2021","8","Third Point Ventures","1","1","prestodb/presto","2021-08-01 00:00:00","https://ahana.io/press-releases/presto-company-ahana-raises-20m-series-a-led-by-third-point-ventures-to-redefine-open-data-lake-analytics/"
"5","Ahana","https://github.com/prestodb/presto","A","7.20","2022","6","Liberty Ventures","1","1","prestodb/presto","2022-06-01 00:00:00","https://venturebeat.com/2022/06/16/ahana-takes-presto-cloud-freemium-tops-off-series-a/"
"6","Ahana","https://github.com/prestodb/presto","Seed","2.20","2020","6","GV","1","1","prestodb/presto","2020-06-01 00:00:00","https://ahana.io/press-releases/ahana-raises-2-25-million-seed-funding-led-by-gv-and-joins-linux-foundations-presto-foundation/"
"7","Airbyte","https://github.com/airbytehq/airbyte","A","26.00","2021","5","Benchmark","1","1","airbytehq/airbyte","2021-05-01 00:00:00","https://airbyte.io/blog/airbyte-raised-a-26m-series-a-to-change-how-data-is-moved"
"8","Airbyte","https://github.com/airbytehq/airbyte","B","150.00","2021","12","Altimeter","1","1","airbytehq/airbyte","2021-12-01 00:00:00","https://www.forbes.com/sites/kenrickcai/2021/12/17/data-startup-airbyte-is-set-to-become-a-unicorn-intensifying-showdown-with-rival-company-fivetran/"
"9","Airbyte","https://github.com/airbytehq/airbyte","Seed","5.20","2021","3","Accel","1","1","airbytehq/airbyte","2021-03-01 00:00:00","https://airbyte.io/articles/our-story/we-raised-a-5m-seed-round-with-accel-to-commoditize-data-integration/"
"10","Aiven","https://github.com/aiven","C","60.00","2021","10","World Innovation Labs","0","1","aiven","2021-10-01 00:00:00","https://aiven.io/blog/raising-a-unicorn"
"11","Aiven","https://github.com/aiven","B","40.00","2020","2","IVP","0","1","aiven","2020-02-01 00:00:00","https://aiven.io/press/aiven-raises-40-million-series-b"
"12","Aiven","https://github.com/aiven","D","210.00","2022","5","Eurazeo","0","1","aiven","2022-05-01 00:00:00","https://aiven.io/press/Aiven-raises-210M-to-invest-in-sustainable-open-source-cloud"
"13","Aiven","https://github.com/aiven","C","100.00","2021","3","Atomico","0","1","aiven","2021-03-01 00:00:00","https://aiven.io/press/aiven-raises-usd100m-series-c-to-expand-global-open-source-innovation"
"14","Akeneo","https://github.com/akeneo/pim-community-dev","D","135.00","2022","3","Summit Partners","1","1","akeneo/pim-community-dev","2022-03-01 00:00:00","https://www.akeneo.com/press-release/akeneo-announces-135-million-series-d-to-redefine-product-information-management-category/"
"15","Akuity","https://github.com/argoproj/argo-workflows","A","20.00","2022","5","Lead Edge Capital","1","1","argoproj/argo-workflows","2022-05-01 00:00:00","https://akuity.io/blog/announcing-series-a-funding/"
"16","Akuity","https://github.com/argoproj/argo-workflows","Seed","4.50","2021","10","Decibel","1","1","argoproj/argo-workflows","2021-10-01 00:00:00","https://blog.akuity.io/launching-akuity-to-modernize-the-cloud-native-toolchain-with-argo-e6b719f6b47b"
"17","Aleph Alpha","https://github.com/Aleph-Alpha/magma","Seed","6.20","2020","11","L EA Parners","1","1","Aleph-Alpha/magma","2020-11-01 00:00:00","https://www.eu-startups.com/2021/01/heidelberg-based-aleph-alpha-raises-e5-3-million-to-lead-made-in-europe-ai-development/"
"18","Aleph Alpha","https://github.com/Aleph-Alpha/magma","A","27.00","2021","8","Earlybird","1","1","Aleph-Alpha/magma","2021-08-01 00:00:00","https://twitter.com/Aleph__Alpha/status/1419921434856538112"
"19","Aleph.im","https://github.com/aleph-im/pyaleph","Seed","10.00","2022","1","Stratos Technologies","1","1","aleph-im/pyaleph","2022-01-01 00:00:00","https://medium.com/aleph-im/aleph-im-raises-10m-in-strategic-bid-to-become-web3s-decentralized-answer-to-amazon-lambda-4d97df5623fc"
"20","Alluxio","https://github.com/Alluxio/alluxio","B","15.50","2020","4","Volcanis","1","1","Alluxio/alluxio","2020-04-01 00:00:00","https://www.alluxio.io/press-releases/alluxio-expands-funding-to-23m-to-increase-investment-in-hybrid-cloud-data-orchestration/"
"21","Alluxio","https://github.com/Alluxio/alluxio","C","50.00","2021","11","Andreessen Horowitz","1","1","Alluxio/alluxio","2021-11-01 00:00:00","https://www.alluxio.io/press-releases/alluxio-announces-50-million-in-new-funding/"
"22","Altinity","https://github.com/ClickHouse/ClickHouse","Seed","4.00","2020","10","Accel","1","1","ClickHouse/ClickHouse","2020-10-01 00:00:00","https://altinity.com/press-releases/altinity-introduces-altinity-cloud-and-secures-4m-in-funding-from-accel"
"23","Ambassador Labs","https://github.com/envoyproxy/envoy","Growth","20.00","2022","8","Insight Partners","1","1","envoyproxy/envoy","2022-08-01 00:00:00","https://www.globenewswire.com/news-release/2022/08/31/2507564/0/en/Ambassador-Labs-Announces-20-Million-of-Additional-Growth-Capital.html"
"24","Ambassador Labs","https://github.com/envoyproxy/envoy","B","18.00","2020","11","Insight Partners","1","1","envoyproxy/envoy","2020-11-01 00:00:00","https://www.globenewswire.com/news-release/2020/10/20/2110986/0/en/Ambassador-Labs-Secures-18M-in-Growth-Funding-to-Accelerate-Ambassador-and-Telepresence-Development.html"
"25","Amplication","https://github.com/amplication/amplication","Seed","6.60","2022","2","Norwest","1","1","amplication/amplication","2022-02-01 00:00:00","https://venturebeat.com/2022/02/09/amplication-builds-out-open-source-low-code-no-code-platform/"
"26","Anchore","https://github.com/anchore/anchore-engine","A","20.00","2020","1","SignalFire","1","1","anchore/anchore-engine","2020-01-01 00:00:00","https://anchore.com/blog/anchore-2020-and-beyond/"
"27","Anno","https://github.com/hypothesis","Seed","14.00","2022","8","ITHAKA","0","1","hypothesis","2022-08-01 00:00:00","https://web.hypothes.is/blog/say-hello-to-anno/"
"28","Anyscale","https://github.com/ray-project/ray","B","40.00","2020","10","NEA","1","1","ray-project/ray","2020-10-01 00:00:00","https://www.businesswire.com/news/home/20201021005541/en/Anyscale-Announces-40M-in-Series-B-Funding-Led-by-NEA"
"29","Anyscale","https://github.com/ray-project/ray","A","20.00","2020","2","Andreessen Horowitz","1","1","ray-project/ray","2020-02-01 00:00:00","https://a16z.com/2019/12/17/anyscale/"
"30","Anyscale","https://github.com/ray-project/ray","C","199.00","2021","12","Addition","1","1","ray-project/ray","2021-12-01 00:00:00","https://www.anyscale.com/blog/the-future-is-distributed"
"31","Apollo","https://graphql.org/","D","130.00","2021","8","Insight Partners","0","0","","2021-08-01 00:00:00","https://twitter.com/apollographql/status/1427616423824797698?s=20"
"32","Appsmith","https://github.com/appsmithorg/appsmith","B","41.00","2022","6","Insight Partners","1","1","appsmithorg/appsmith","2022-06-01 00:00:00","https://twitter.com/arey_abhishek/status/1539641368657940480?s=20&t=3V6ZP7n5Vp72j-DwckcpdA"
"33","Appsmith","https://github.com/appsmithorg/appsmith","A","8.00","2021","10","Accel","1","1","appsmithorg/appsmith","2021-10-01 00:00:00","https://www.appsmith.com/blog/10-5mn-funding-raised-how-we-got-here-and-where-we-want-to-go"
"34","Appsmith","https://github.com/appsmithorg/appsmith","Seed","2.50","2021","10","Accel","1","1","appsmithorg/appsmith","2021-10-01 00:00:00","https://www.appsmith.com/blog/10-5mn-funding-raised-how-we-got-here-and-where-we-want-to-go"
"35","Appwrite","https://github.com/appwrite/appwrite","A","27.00","2022","4","Tiger Global","1","1","appwrite/appwrite","2022-04-01 00:00:00","https://appwrite.io/series-a"
"36","Appwrite","https://github.com/appwrite/appwrite","Seed","10.00","2021","10","Bessemer","1","1","appwrite/appwrite","2021-10-01 00:00:00","https://appwrite.io/seed"
"37","Apromore","https://github.com/apromore/ApromoreCore","A","4.50","2020","7","GBTEC","1","1","apromore/ApromoreCore","2020-07-01 00:00:00","https://www.prnewswire.com/in/news-releases/open-source-process-mining-vendor-apromore-raises-au-6-84-million-in-series-a-funding-848722817.html"
"38","Aqua Security","https://github.com/aquasecurity","E","135.00","2021","3","ION Crossover","0","1","aquasecurity","2021-03-01 00:00:00","https://www.prnewswire.com/news-releases/aqua-security-announces-135-million-in-series-e-funding-at-a-1-billion-valuation-301243855.html"
"39","ArangoDB","https://github.com/arangodb/arangodb","B","27.80","2021","10","Iris Capital","1","1","arangodb/arangodb","2021-10-01 00:00:00","https://www.arangodb.com/2021/10/announcing-arangodb-series-b-funding/"
"40","Arduino","https://github.com/arduino/Arduino","B","32.00","2022","6","Robert Bosch Venture Capital","1","1","arduino/Arduino","2022-06-01 00:00:00","https://blog.arduino.cc/2022/06/07/ready-to-transform-the-enterprise-world-we-are/"
"41","ARMO","https://github.com/kubescape/kubescape","A","30.00","2022","4","Tiger Global","1","1","kubescape/kubescape","2022-04-01 00:00:00","https://www.armosec.io/blog/armo-raises-30m/"
"42","ARMO","https://github.com/kubescape/kubescape","Seed","4.50","2021","1","Tiger Global","1","1","kubescape/kubescape","2021-01-01 00:00:00","https://www.prnewswire.com/news-releases/armo-emerges-from-stealth-with-4-5-million-to-infuse-visibility-control-and-security-into-every-cloud-native-workload-301216137.html"
"43","Armory","https://github.com/spinnaker/spinnaker","C","40.00","2020","10","B Capital","1","1","spinnaker/spinnaker","2020-10-01 00:00:00","https://www.armory.io/blog/armory-in-the-news-october-19th-2020/"
"44","ARMO","https://github.com/kubescape/kubescape","A","30.00","2022","4","Tiger Global","1","1","kubescape/kubescape","2022-04-01 00:00:00","https://www.armosec.io/blog/armo-raises-30m/"
"45","Arrikto","https://github.com/kubeflow/kubeflow","A","10.00","2020","11","Unusual Ventures","1","1","kubeflow/kubeflow","2020-11-01 00:00:00","https://www.arrikto.com/blog/hello-world-we-are-arrikto/"
"46","Astronomer","https://github.com/apache/airflow","A","13.60","2020","5","Venrock","1","1","apache/airflow","2020-05-01 00:00:00","https://www.ethanjb.com/posts/astronomer_investment/"
"47","Astronomer","https://github.com/apache/airflow","B","43.60","2021","1","Sutter Hil","1","1","apache/airflow","2021-01-01 00:00:00","https://www.linkedin.com/pulse/joined-shv-moving-back-california-scott-yara/"
"48","Astronomer","https://github.com/apache/airflow","C","213.00","2022","3","Insight Partners","1","1","apache/airflow","2022-03-01 00:00:00","https://techcrunch.com/2022/03/23/astronomer-ready-for-its-next-mission-after-datakin-acquisition-213m-series-c/"
"49","Athens","https://github.com/athensresearch","Seed","1.90","2021","4","Caffeinated","0","1","athensresearch","2021-04-01 00:00:00","https://athensresearch.ghost.io/athens-1-9m-seed-round-led-by-caffeinated-capital/"
"50","AtomicJar","https://github.com/testcontainers/testcontainers-java","Seed","4.00","2021","6","boldstart ventures","1","1","testcontainers/testcontainers-java","2021-06-01 00:00:00","https://www.atomicjar.com/2021/06/announcing-atomicjar-inc/"
"51","AutoCloud","https://github.com/cloudgraphdev","Seed","4.00","2021","11","Animo Ventures","0","1","cloudgraphdev","2021-11-01 00:00:00","https://techcrunch.com/2021/11/22/autocloud-raises-4m-to-commercialize-its-oss-cloud-visualization-service/"
"52","BattleSnake","https://github.com/battlesnakeofficial","Seed","1.50","2021","9","Madrona Venture Group","0","1","battlesnakeofficial","2021-09-01 00:00:00","https://blog.battlesnake.com/building-esports-for-developers/"
"53","Bit","https://github.com/teambit/bit","B","25.00","2021","11","Insight Partners","1","1","teambit/bit","2021-11-01 00:00:00","https://venturebeat.com/2021/11/16/bit-bags-36m-to-bring-microservices-to-frontend-development/amp/"
"54","Bodo.ai","https://github.com/Bodo-inc","A","14.00","2021","8","Dell Technologies Capital","0","1","Bodo-inc","2021-08-01 00:00:00","https://www.businesswire.com/news/home/20210825005146/en/Bodo.ai-Raises-14-million-Series-A-to-Revolutionize-Simplicity-Performance-and-Scale-for-Data-Analytics-and-Machine-Learning"
"55","Botpress","https://github.com/botpress/botpress","A","15.00","2021","4","Decibel","1","1","botpress/botpress","2021-04-01 00:00:00","https://botpress.com/blog/announcing-15m-series-a"
"56","BoxyHQ","https://github.com/boxyhq","Seed","2.50","2022","2","oSS Capital","0","1","boxyhq","2022-02-01 00:00:00","https://twitter.com/COSS_Community/status/1496529074033938447"
"57","BrowserStack","https://github.com/SeleniumHQ","B","200.00","2021","6","Bond","0","1","SeleniumHQ","2021-06-01 00:00:00","https://www.browserstack.com/press/browserstack-closes-200-million-in-series-b-funding-at-a-4-billion-valuation"
"58","Buf Technologies","https://github.com/protocolbuffers/protobuf","A","20.70","2021","4","Undisclosed","1","1","protocolbuffers/protobuf","2021-04-01 00:00:00","https://www.sec.gov/Archives/edgar/data/1825366/000182536621000001/xslFormDX01/primary_doc.xml"
"59","Buf Technologies","https://github.com/protocolbuffers/protobuf","B","68.00","2021","12","Lux Capital, Tiger Global","1","1","protocolbuffers/protobuf","2021-12-01 00:00:00","https://buf.build/blog/an-update-on-our-fundraising"
"60","Buf Technologies","https://github.com/protocolbuffers/protobuf","Seed","3.70","2020","9","Lightspeed","1","1","protocolbuffers/protobuf","2020-09-01 00:00:00","https://buf.build/blog/an-update-on-our-fundraising"
"61","Buf Technologies","https://github.com/protocolbuffers/protobuf","Seed","1.00","2020","5","Amplify Partners","1","1","protocolbuffers/protobuf","2020-05-01 00:00:00","https://buf.build/blog/an-update-on-our-fundraising"
"62","Build.security","https://github.com/build-security","Seed","6.00","2020","11","YL Ventures","0","1","build-security","2020-11-01 00:00:00","https://www.businesswire.com/news/home/20201118005269/en/build.security-Emerges-from-Stealth-with-6M-in-Backing-from-YL-Ventures-CrowdStrike%E2%80%99s-George-Kurtz-and-Lineup-of-Cybersecurity-Leaders"
"63","BuildBuddy","https://github.com/bazelbuild/bazel","Seed","3.10","2020","12","Y Combinator","1","1","bazelbuild/bazel","2020-12-01 00:00:00","https://techcrunch.com/2020/12/01/yc-backed-buildbuddy-raises-3-15m-to-help-developers-build-software-more-quickly/"
"64","Cal.com","https://github.com/calcom/cal.com","A","25.00","2022","4","Seven Seven Six","1","1","calcom/cal.com","2022-04-01 00:00:00","https://cal.com/blog/cal-v-1-5"
"65","Cal.com","https://github.com/calcom/cal.com","Seed","7.40","2021","12","osS Capital","1","1","calcom/cal.com","2021-12-01 00:00:00","https://cal.com/blog/seed"
"66","Calyptia","https://github.com/fluent","Seed","5.00","2022","3","Sierra Ventures","0","1","fluent","2022-03-01 00:00:00","https://calyptia.com/2022/03/02/calpytia-raises-5m-seed-round-to-bring-fluent-bit-to-the-enterprise/"
"67","Camunda","https://github.com/camunda","B","100.00","2021","3","Insight Partners","0","1","camunda","2021-03-01 00:00:00","https://camunda.com/press_release/camunda-closes-100-million-series-b-funding-round/"
"68","Cape Privacy","https://github.com/capeprivacy/cape-dataframes","A","20.00","2021","4","Evolution","1","1","capeprivacy/cape-python","2021-04-01 00:00:00","https://capeprivacy.com/news/cape-raises-20-million-in-series-a-funding/"
"69","Cape Privacy","https://github.com/capeprivacy/cape-dataframes","Seed","5.00","2020","6","boldstart ventures","1","1","capeprivacy/cape-python","2020-06-01 00:00:00","https://techcrunch.com/2020/06/24/cape-privacy-launches-data-science-collaboration-platform-with-5-06m-seed-investment/"
"70","Carto","https://github.com/CartoDB/cartodb","C","61.00","2021","12","Insight Partners","1","1","CartoDB/cartodb","2021-12-01 00:00:00","https://carto.com/blog/carto-closes-series-c-round/"
"71","Cerbos","https://github.com/cerbos/cerbos","Seed","3.50","2021","12","Crane Venture Partners","1","1","cerbos/cerbos","2021-12-01 00:00:00","https://cerbos.dev/blog/announcement-cerbos-seed-funding-round"
"72","Chainguard","https://github.com/sigstore","A","50.00","2022","6","Sequoia Capital","0","1","sigstore","2022-06-01 00:00:00","https://blog.chainguard.dev/chainguard-raises-50m-in-series-a-to-make-software-supply-chain-secure-by-default-introduces-secure-container-base-images/"
"73","Chainguard","https://github.com/sigstore","Seed","5.00","2021","12","Amplify Partners","0","1","sigstore","2021-12-01 00:00:00","https://runpanther.io/press-releases/panther-labs-raises-120m-series-b-with-unicorn-valuation-led-by-coatue/"
"74","ChaosSearch","ELK Stack","B","40.00","2020","12","Stripes, Moore Strategic Ventures","0","0","","2020-12-01 00:00:00","https://www.chaossearch.io/news-and-media/chaossearch-40-million-series-b-funding#utm_source=twitter&utm_medium=organic"
"75","Charm","https://github.com/charmbracelet","Seed","3.00","2021","4","Cavalry","0","1","charmbracelet","2021-04-01 00:00:00","https://venturebeat.com/2021/04/20/charm-embraces-open-source-to-make-command-line-interfaces-glamorous/"
